City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
999,Inyonga,TZ,85.28,broken clouds,-6.72,32.07,
1001,Bredasdorp,ZA,68.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
1002,Huarmey,PE,66.72,overcast clouds,-10.07,-78.15,Hotel Miramar
1004,Atuona,PF,78.03,few clouds,-9.8,-139.03,Villa Enata
1009,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1013,Tura,IN,73.26,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
1015,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1016,Alice Springs,AU,68.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
1018,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
1019,Butaritari,KI,81.09,broken clouds,3.07,172.79,Isles Sunset Lodge
1021,Ribeira Grande,PT,71.6,broken clouds,38.52,-28.7,Quinta da Meia Eira
1022,The Valley,AI,86.0,haze,18.22,-63.06,CeBlue Villas & Beach Resort
1023,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
1024,East London,ZA,66.2,scattered clouds,-33.02,27.91,Tu Casa
1027,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
1028,Marsa Matruh,EG,75.2,scattered clouds,31.35,27.25,Beau Site
1029,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1030,Arraial Do Cabo,BR,69.8,light intensity drizzle,-22.97,-42.03,Pousada Porto Praia
1033,Charters Towers,AU,73.6,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
1036,Imbituba,BR,69.8,light rain,-28.24,-48.67,Praia Hotel Imbituba
1037,Saldanha,ZA,78.8,clear sky,-33.01,17.94,Blue Bay Lodge
1038,Sao Filipe,CV,82.35,overcast clouds,14.9,-24.5,Tortuga B&B
1041,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1043,Cabo San Lucas,MX,75.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
1046,Port Alfred,ZA,66.61,broken clouds,-33.59,26.89,The Halyards Hotel
1047,Avarua,CK,73.4,light rain,-21.21,-159.78,Paradise Inn
1048,Nachingwea,TZ,82.85,light rain,-10.38,38.77,Makoga lodge
1049,Saint-Philippe,RE,73.4,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
1052,La Asuncion,VE,91.4,scattered clouds,11.03,-63.86,Colinas de Matasiete
1054,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
1056,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1057,Bukavu,CD,68.34,moderate rain,-2.51,28.86,Horizon Hotel
1062,Bubaque,GW,84.65,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
1064,Moyale,KE,74.19,broken clouds,3.52,39.06,WOCHES PALACE
1066,Along,IN,69.85,overcast clouds,28.17,94.77,Hotel West
1067,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1070,Kununurra,AU,84.2,few clouds,-15.77,128.73,Hotel Kununurra
1071,Carnarvon,AU,71.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
1072,Eyl,SO,81.39,broken clouds,7.98,49.82,Amiin Hotel
1073,Atuona,PF,78.03,few clouds,-9.8,-139.03,Villa Enata
1079,Saravan,AM,80.6,scattered clouds,39.72,45.65,
1080,Cabo San Lucas,MX,75.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
1081,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
1084,Darnah,LY,71.22,few clouds,32.77,22.64,زاوية الرفاعي
1086,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
1087,Atuona,PF,78.03,few clouds,-9.8,-139.03,Villa Enata
1088,Ribeira Grande,PT,71.6,broken clouds,38.52,-28.7,Quinta da Meia Eira
1093,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
1094,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
1097,Sri Aman,MY,78.8,moderate rain,1.24,111.46,Seri Simanggang Hotel
1098,Avarua,CK,73.4,light rain,-21.21,-159.78,Paradise Inn
1099,Port Elizabeth,ZA,68.0,clear sky,-33.92,25.57,39 On Nile Guest House
1100,Port Alfred,ZA,66.61,broken clouds,-33.59,26.89,The Halyards Hotel
1105,Sao Filipe,CV,82.35,overcast clouds,14.9,-24.5,Tortuga B&B
1109,Saldanha,ZA,78.8,clear sky,-33.01,17.94,Blue Bay Lodge
1111,Dori,BF,98.44,clear sky,14.04,-0.03,Oasis Annexe
1113,Qandala,SO,80.91,scattered clouds,11.47,49.87,
1118,Chipinge,ZW,80.62,clear sky,-20.19,32.62,Mutare Club
1121,Bodden Town,KY,86.0,few clouds,19.28,-81.25,Will T Place
1126,Porbandar,IN,84.13,clear sky,21.64,69.61,Lords Inn Porbandar
1127,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1133,Bredasdorp,ZA,68.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
1135,Klaeng,TH,82.0,light rain,12.78,101.65,Damrongcheep in Resort
1136,Barro,BR,96.1,overcast clouds,-6.72,-38.87,
1142,Bergerac,FR,71.6,clear sky,44.83,0.5,"The Originals City, Hôtel de Bordeaux, Bergerac (Inter-Hotel)"
1146,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1149,Port Alfred,ZA,66.61,broken clouds,-33.59,26.89,The Halyards Hotel
1157,Bredasdorp,ZA,68.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
1158,Kruisfontein,ZA,66.99,scattered clouds,-34.0,24.73,Oyster Bay House Rental
1159,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1160,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1161,Nacala,MZ,81.68,overcast clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
1166,Arraial Do Cabo,BR,69.8,light intensity drizzle,-22.97,-42.03,Pousada Porto Praia
1168,Carnarvon,AU,71.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
1169,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
1171,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1172,Cabo San Lucas,MX,75.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
1174,Cape Town,ZA,71.6,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
1178,Bengkulu,ID,77.81,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
1179,Carbonia,IT,75.0,clear sky,39.17,8.52,Lu 'Hotel
1180,Guanica,PR,87.01,overcast clouds,17.97,-66.91,Copamarina Beach Resort & Spa
1182,Victoria,HK,75.0,clear sky,22.29,114.16,Mini Hotel Central
1183,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1184,Butaritari,KI,81.09,broken clouds,3.07,172.79,Isles Sunset Lodge
1185,Acari,PE,72.43,overcast clouds,-15.43,-74.62,Hospedaje Ximens
1186,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
1187,Carnarvon,AU,71.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
1190,Ponta Delgada,PT,69.8,broken clouds,37.73,-25.67,Vila Nova Hotel
1192,Gainesville,US,69.01,clear sky,29.65,-82.32,Wyndham Garden Gainesville
1194,Port Elizabeth,ZA,68.0,clear sky,-33.92,25.57,39 On Nile Guest House
1195,Caravelas,BR,82.09,moderate rain,-17.71,-39.25,Pousada dos Navegantes
1196,Sabha,LY,74.93,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
